"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
4	2	"su(3)"	10	97	2	1	0	0	0	0	0	0
4	2	"su(3)"	10	98	1	1	0	0	0	0	0	0
4	2	"su(3)"	10	98	2	1	0	0	0	0	0	0
4	2	"su(3)"	10	99	1	1	0	0	0	0	0	0
4	2	"su(3)"	10	100	0	1	0	0	0	0	0	0
4	2	"su(3)"	10	105	2	0	0	0	0	0	0	0
4	2	"su(3)"	10	107	1	0	0	0	0	0	0	0
4	2	"su(3)"	11	63	0	2	1	0	0	0	0	0
4	2	"su(3)"	11	68	2	1	1	0	0	0	0	0
4	2	"su(3)"	11	69	2	1	1	0	0	0	0	0
4	2	"su(3)"	11	70	1	1	1	0	0	0	0	0
4	2	"su(3)"	11	70	2	1	1	0	0	0	0	0
4	2	"su(3)"	11	71	1	1	1	0	0	0	0	0
4	2	"su(3)"	11	72	0	1	1	0	0	0	0	0
4	2	"su(3)"	11	72	2	4	0	0	0	0	0	0
4	2	"su(3)"	11	73	2	4	0	0	0	0	0	0
4	2	"su(3)"	11	74	1	4	0	0	0	0	0	0
4	2	"su(3)"	11	75	0	4	0	0	0	0	0	0
4	2	"su(3)"	11	75	1	4	0	0	0	0	0	0
4	2	"su(3)"	11	77	2	0	1	0	0	0	0	0
4	2	"su(3)"	11	79	1	0	1	0	0	0	0	0
4	2	"su(3)"	11	80	2	3	0	0	0	0	0	0
4	2	"su(3)"	11	81	2	3	0	0	0	0	0	0
4	2	"su(3)"	11	82	1	3	0	0	0	0	0	0
4	2	"su(3)"	11	82	2	3	0	0	0	0	0	0
4	2	"su(3)"	11	83	0	3	0	0	0	0	0	0
4	2	"su(3)"	11	83	1	3	0	0	0	0	0	0
4	2	"su(3)"	11	84	0	3	0	0	0	0	0	0
4	2	"su(3)"	11	85	4	2	0	0	0	0	0	0
4	2	"su(3)"	11	87	3	2	0	0	0	0	0	0
4	2	"su(3)"	11	88	2	2	0	0	0	0	0	0
4	2	"su(3)"	11	88	3	2	0	0	0	0	0	0
4	2	"su(3)"	11	89	2	2	0	0	0	0	0	0
4	2	"su(3)"	11	89	3	2	0	0	0	0	0	0
4	2	"su(3)"	11	90	1	2	0	0	0	0	0	0
4	2	"su(3)"	11	90	2	2	0	0	0	0	0	0
4	2	"su(3)"	11	91	0	2	0	0	0	0	0	0
4	2	"su(3)"	11	91	1	2	0	0	0	0	0	0
4	2	"su(3)"	11	92	0	2	0	0	0	0	0	0
4	2	"su(3)"	11	94	4	1	0	0	0	0	0	0
4	2	"su(3)"	11	96	2	1	0	0	0	0	0	0
4	2	"su(3)"	11	96	3	1	0	0	0	0	0	0
4	2	"su(3)"	11	97	2	1	0	0	0	0	0	0
4	2	"su(3)"	11	98	1	1	0	0	0	0	0	0
4	2	"su(3)"	11	98	2	1	0	0	0	0	0	0
4	2	"su(3)"	11	99	1	1	0	0	0	0	0	0
4	2	"su(3)"	11	100	0	1	0	0	0	0	0	0
4	2	"su(3)"	11	105	2	0	0	0	0	0	0	0
4	2	"su(3)"	12	38	1	2	0	1	0	0	0	0
4	2	"su(3)"	12	39	0	2	0	1	0	0	0	0
4	2	"su(3)"	12	46	1	1	0	1	0	0	0	0
4	2	"su(3)"	12	46	2	1	0	1	0	0	0	0
4	2	"su(3)"	12	47	1	1	0	1	0	0	0	0
4	2	"su(3)"	12	48	0	1	0	1	0	0	0	0
4	2	"su(3)"	12	54	1	3	1	0	0	0	0	0
4	2	"su(3)"	12	55	0	3	1	0	0	0	0	0
4	2	"su(3)"	12	55	1	0	0	1	0	0	0	0
4	2	"su(3)"	12	62	1	2	1	0	0	0	0	0
4	2	"su(3)"	12	63	0	2	1	0	0	0	0	0
4	2	"su(3)"	12	63	1	2	1	0	0	0	0	0
4	2	"su(3)"	12	64	0	2	1	0	0	0	0	0
4	2	"su(3)"	12	71	1	1	1	0	0	0	0	0
4	2	"su(3)"	12	88	2	2	0	0	0	0	0	0
4	2	"su(3)"	12	90	1	2	0	0	0	0	0	0
4	2	"su(3)"	12	96	2	1	0	0	0	0	0	0
4	2	"su(3)"	12	97	2	1	0	0	0	0	0	0
4	2	"su(3)"	12	98	1	1	0	0	0	0	0	0
4	2	"su(3)"	12	98	2	1	0	0	0	0	0	0
4	2	"su(3)"	12	99	1	1	0	0	0	0	0	0
4	2	"su(3)"	12	105	2	0	0	0	0	0	0	0
4	2	"su(3)"	12	107	1	0	0	0	0	0	0	0
4	2	"su(3)"	13	12	1	2	0	0	1	0	0	0
4	2	"su(3)"	13	13	0	2	0	0	1	0	0	0
4	2	"su(3)"	13	21	1	1	0	0	1	0	0	0
4	2	"su(3)"	13	22	0	1	0	0	1	0	0	0
4	2	"su(3)"	13	83	1	3	0	0	0	0	0	0
4	2	"su(3)"	13	88	2	2	0	0	0	0	0	0
4	2	"su(3)"	13	90	1	2	0	0	0	0	0	0
4	2	"su(3)"	13	91	0	2	0	0	0	0	0	0
4	2	"su(3)"	13	99	1	1	0	0	0	0	0	0
4	2	"su(3)"	13	100	0	1	0	0	0	0	0	0
4	2	"su(3)"	13	105	2	0	0	0	0	0	0	0
4	2	"su(3)"	14	62	1	2	1	0	0	0	0	0
4	2	"su(3)"	14	89	2	2	0	0	0	0	0	0
4	2	"su(3)"	14	90	1	2	0	0	0	0	0	0
4	2	"su(3)"	14	90	2	2	0	0	0	0	0	0
4	2	"su(3)"	14	91	0	2	0	0	0	0	0	0
4	2	"su(3)"	14	91	1	2	0	0	0	0	0	0
4	2	"su(3)"	14	94	4	1	0	0	0	0	0	0
4	2	"su(3)"	14	96	2	1	0	0	0	0	0	0
4	2	"su(3)"	14	96	3	1	0	0	0	0	0	0
4	2	"su(3)"	14	97	2	1	0	0	0	0	0	0
4	2	"su(3)"	14	98	2	1	0	0	0	0	0	0
4	2	"su(3)"	14	99	1	1	0	0	0	0	0	0
4	2	"su(3)"	14	105	2	0	0	0	0	0	0	0
4	2	"su(3)"	15	80	2	3	0	0	0	0	0	0
4	2	"su(3)"	15	90	2	2	0	0	0	0	0	0
4	2	"su(3)"	17	90	1	2	0	0	0	0	0	0
4	2	"su(3)"	20	90	1	2	0	0	0	0	0	0
4	2	"su(3)"	23	89	2	2	0	0	0	0	0	0
4	2	"su(3)"	28	105	2	0	0	0	0	0	0	0
4	2	"su(3)"	29	89	2	2	0	0	0	0	0	0
4	2	"su(3)"	42	82	2	3	0	0	0	0	0	0
4	2	"su(3)"	52	94	4	1	0	0	0	0	0	0
4	2	"su(3)"	52	96	3	1	0	0	0	0	0	0
